Código,Nome/Endereço,Bairro,Valor Total Mensal (R$),Preço do Aluguel (R$),Condomínio (R$),IPTU (R$),Quartos,Banheiros,Vagas,Área (m²),Facilidades,Imobiliária,Fonte (site)
6,"Aclimação, São Paulo",Aclimação,3920.0,3000,800.0,120.0,2,2,1,60,"Elevador, Portaria 24 horas",rizkimoveis,https://rizkimoveis.com.br/imovel/10118/apartamento-2-quartos-aclimacao-sao-paulo/venda-e-aluguel/
7,Próximo ao Metrô Barra Funda,Barra Funda,4449.0,3300,990.0,159.0,2,2,1,62,"Children care, Churrasqueira, Espaço gourmet, Piscina adulto e infantil, Sala de ginástica, Salão de festa, Salão de jogos, Sauna",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-2-quartos-62-m/AP1325-LSA?from=rent
10,"Próximo ao Hospital 9 de Julho, Bela Vista",Bela Vista,3628.35,2500,976.18,152.17,2,2,1,80,"Quadra, Playground",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-2-quartos-80-m/AP2200-LSA?from=rent
8,"Consolação, São Paulo",Consolação,6765.52,5500,1265.52,0.0,3,3,1,100,"Área de serviço, Armário na cozinha, Elevador, Portão eletrônico",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-3-quartos-100-m/AP2259-LSA?from=rent
9,Próximo ao Shopping Bourbon,Perdizes,4517.97,3500,917.53,100.44,3,2,1,60,"Piscina, Academia, Salão de festas, Salão de jogos, Playground",lsprado,https://www.lsprado.com.br/imovel/apartamento-sao-paulo-3-quartos-60-m/AP1351-LSA?from=rent
23,"Rua Maria Paula, Bela Vista, São Paulo",Bela Vista,4470.0,3400,889.0,181.0,3,2,0,73,"Elevador, próximo ao metrô",QuintoAndar,https://www.quintoandar.com.br/imovel/892877492/alugar/apartamento-3-quartos-bela-vista-sao-paulo
26,"Rua Barata Ribeiro, Bela Vista, São Paulo",Bela Vista,4140.0,3000,896.0,128.0,2,2,1,65,"Piscina, Academia, Salão de festas, Espaço gourmet, Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/893085659
24,"Rua Texas, Brooklin Paulista, São Paulo",Brooklin Paulista,4621.0,3109,1337.0,67.0,2,2,1,78,"Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/893762445
5,"Rua Joaquim Floriano, Itaim Bibi",Itaim Bibi,4572.0,3600,697.0,275.0,3,2,0,135,"Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/893818139/alugar/apartamento-3-quartos-itaim-bibi-sao-paulo
3,"Alameda Fernão Cardim, Jardim Paulista",Jardim Paulista,4700.0,3500,1000.0,200.0,2,2,0,70,"Próximo ao metrô, Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/894340151/alugar/apartamento-2-quartos-jardim-paulista-sao-paulo
4,"Rua Cubatão, Vila Mariana",Vila Mariana,4018.0,2830,1140.0,48.0,2,2,1,90,"Elevador, Próximo ao metrô",quintoandar,https://www.quintoandar.com.br/imovel/894548094/alugar/apartamento-2-quartos-vila-mariana-sao-paulo
25,"Rua Estela, Vila Mariana, São Paulo",Vila Mariana,5167.0,3800,1100.0,120.0,2,2,1,80,"Playground, Quadra esportiva, Academia, Salão de festas, Área verde, Elevador, Portaria 24h",quintoandar,https://www.quintoandar.com.br/imovel/894561348
12,"Apartamento no bairro Bela Vista, São Paulo",Bela Vista,4250.0,3200,850.0,200.0,3,2,1,78,"Portaria 24h, salão de festas",QuintoAndar,https://www.quintoandar.com.br/imovel/894590276
22,"Rua Artur Prado, Bela Vista, São Paulo",Bela Vista,4176.0,2900,1105.0,171.0,3,2,0,80,"Portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/894590276/alugar/apartamento-3-quartos-bela-vista-sao-paulo
21,"Rua Aurora, Santa Ifigênia, São Paulo",Santa Ifigênia,4348.0,3000,1071.0,277.0,2,2,1,57,"Academia, piscina, salão de festas, sauna, lavanderia, área verde, portaria 24h",QuintoAndar,https://www.quintoandar.com.br/imovel/894601086/alugar/apartamento-2-quartos-santa-ifigenia-sao-paulo
19,"Rua Domingos de Morais, Vila Mariana, São Paulo",Vila Mariana,5374.0,3900,1090.0,233.0,3,2,0,115,"Portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/894614711
2,"Rua Doutor Mário Cardim, Vila Mariana",Vila Mariana,4603.333333,3500,1100.0,3.333333333,2,2,1,84,"Portaria 24 horas, Elevador, Salão de festas, Playground",zapimoveis,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-cozinha-vila-mariana-zona-sul-sao-paulo-sp-84m2-id-2735407830/
1,"Rua Domingos de Morais, Vila Mariana",Vila Mariana,4202.75,3000,1200.0,2.75,2,2,1,70,"Portaria 24 horas, Elevador, Próximo ao metrô",zapimoveis,https://www.zapimoveis.com.br/imovel/aluguel-apartamento-2-quartos-com-elevador-vila-mariana-zona-sul-sao-paulo-sp-70m2-id-2716602081/
27,Apartamento - Avenida Brigadeiro Luís Antônio,Bela Vista,4934.0,3370,1410.0,154.0,4,3,1,125,"Próximo ao metrô, aceita pets, portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/893436879
30,Apartamento - Rua José Antônio Coelho,Vila Mariana,4207.0,3300,840.0,67.0,3,2,0,119,"Elevador, portaria 24h, aceita pets",QuintoAndar,https://www.quintoandar.com.br/imovel/894614690
31,"Rua França Pinto, Vila Mariana",Vila Mariana,4226.0,3200,1026.0,0.0,2,1,1,80,"Salão de festas, portaria 24h, elevador, garagem coberta",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-mariana-2dormitorios-1vaga-80m2/MG5615
32,"Rua França Pinto, Vila Mariana",Vila Mariana,4370.0,3100,1050.0,220.0,2,2,1,50,"Piscina, academia, lavanderia, salão gourmet, espaço de convivência",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-mariana-2dormitorios-1suite-50m2/MG1797
33,"Rua Gandavo, Vila Mariana",Vila Mariana,4157.17,2800,1333.37,23.8,2,1,1,70,"Mobiliado, elevador, portaria 24h, garagem coberta, próximo ao metrô",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-mariana-2dormitorios-1vaga-70m2/MG5931
34,"Chácara Inglesa, São Paulo",Chácara Inglesa,4740.0,2750,1630.0,360.0,3,2,2,80,"Playground, salão de festas, churrasqueira, bicicletário, elevador, portaria 24h",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-chacara-inglesa-3dormitorios-1suite-2vagas-80m2/ZE28877
35,"Jardim Paulista, São Paulo",Jardim Paulista,3751.9900000000002,2700,837.38,214.61,2,1,1,50,"Jardim, piscina, piscina infantil, salão de festas",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-jardim-paulista-2dormitorios-1vaga-50m2/MG4884
36,"Rua Alves Guimarães, Pinheiros",Pinheiros,4981.0,3500,1481.0,0.0,2,2,1,86,"Próximo ao metrô, elevador, portaria 24h, salão de festas, aceita pets",QuintoAndar,https://www.quintoandar.com.br/imovel/893452823/alugar/apartamento-2-quartos-pinheiros-sao-paulo
37,"Rua Maestro Elias Lobo, Jardim Paulista",Jardim Paulista,4107.0,3512,560.0,35.0,2,2,0,70,"Elevador, portaria 24h, aceita pets, armários embutidos, banheira",QuintoAndar,https://www.quintoandar.com.br/imovel/894103352/alugar/apartamento-2-quartos-jardim-paulista-sao-paulo
38,"Rua Estela, Vila Mariana",Vila Mariana,4116.0,3224,788.0,104.0,2,3,1,87,"Playground, salão de festas, elevador, portaria 24h",QuintoAndar,https://www.quintoandar.com.br/imovel/892821603/alugar/apartamento-2-quartos-vila-mariana-sao-paulo
39,"Rua França Pinto, Vila Clementino",Vila Clementino,5820.0,4000,1300.0,520.0,3,2,2,84,"Academia, piscina, churrasqueira, salão de festas, portaria 24h, elevador",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-clementino-3dormitorios-1suite-2vagas-84m2/MG6007
40,"Rua França Pinto, Vila Mariana",Vila Mariana,5725.0,4000,1375.0,350.0,2,2,2,65,"Piscina, academia, salão de festas, playground",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-mariana-2dormitorios-1suite-2vagas-65m2/MG5961
41,"Bela Vista, São Paulo",Bela Vista,5255.0,3950,1170.0,135.0,2,2,1,83,"Portaria 24h, salão de festas",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-venda-sao-paulo-bela-vista-2dormitorios-1vaga-83m2/ZE10571
42,"Rua Leandro Dupret, Vila Clementino",Vila Clementino,4400.0,3600,675.0,125.0,2,1,1,70,"Elevador, portaria 24h, próximo ao metrô",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-clementino-2dormitorios-1vaga-70m2/MG1554
43,"Ipiranga, São Paulo",Ipiranga,4448.0,3300,864.0,284.0,2,2,2,60,"Piscina, academia, playground, churrasqueira, salão de festas, quadra",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-venda-sao-paulo-ipiranga-2dormitorios-1suite-2vagas-60m2/MG1795
44,"Rua França Pinto, Vila Clementino",Vila Clementino,4267.0,3250,985.0,32.0,2,1,1,80,"Elevador, portaria 24h, salão de festas, garagem coberta, próximo ao metrô",MMG Imóveis,https://www.mmgimoveis.com.br/imovel/apartamento-locacao-sao-paulo-vila-clementino-2dormitorios-1vaga-80m2/MG460
45,"Rua Joaquim Távora, Vila Mariana, São Paulo",Vila Mariana,4406.0,3900,300.0,206.0,2,2,0,90,"Banheira de hidromassagem, armários na cozinha e no quarto",QuintoAndar,https://www.quintoandar.com.br/imovel/894609497
46,"Rua Napoleão de Barros, Vila Clementino, São Paulo",Vila Clementino,4867.0,3800,939.0,128.0,2,2,0,75,"Ar condicionado, armários embutidos, cozinha planejada",QuintoAndar,https://www.quintoandar.com.br/imovel/893244748
47,"Rua Loefgren, Vila Clementino, São Paulo",Vila Clementino,4384.0,3900,352.0,132.0,2,3,1,55,"Armários embutidos, salão de festas",QuintoAndar,https://www.quintoandar.com.br/imovel/893903049
48,"Rua Topazio, Vila Mariana, São Paulo",Vila Mariana,4726.0,3854,752.0,120.0,2,2,0,104,"Armários embutidos, portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/892978583/alugar/apartamento-2-quartos-vila-mariana-sao-paulo
49,"Rua Domingos de Morais, Vila Mariana, São Paulo",Vila Mariana,5374.0,3900,1090.0,384.0,3,2,0,115,"Armários embutidos, portaria 24h, elevador",QuintoAndar,https://www.quintoandar.com.br/imovel/894614711
50,"Rua Eça de Queiroz, Vila Mariana, São Paulo",Vila Mariana,4727.0,3700,885.0,142.0,3,2,2,95,Duas vagas na garagem,QuintoAndar,https://www.quintoandar.com.br/imovel/893391742
51,"Rua Francisco Dias Velho, Vila Cordeiro, São Paulo",Vila Cordeiro,4490.0,3422,900.0,168.0,2,2,1,75,Uma vaga na garagem,QuintoAndar,https://www.quintoandar.com.br/imovel/894066064